,latitud,provincia,altitud,indicativo,nombre,indsinop,longitud,latitud_dd,longitud_dd,codigo_postal
236,432341N,CANTABRIA,45,1083L,CASTRO URDIALES,08020,031402W,43.39472222222222,-31.66722222222222,
237,431647N,BIZKAIA,177,1083B,SOPUERTA,,031007W,43.27972222222222,-31.001944444444444,
238,432526N,CANTABRIA,3,1109,SANTANDER AEROPUERTO,08021,034932W,43.42388888888889,-35.550555555555555,
239,432543N,CANTABRIA,3,1109X,SANTANDER AEROPUERTO,08021,034953W,43.42861111111111,-35.58416666666667,
240,432928N,CANTABRIA,52,1111,SANTANDER,08023,034802W,43.49111111111111,-35.33388888888889,
241,432928N,CANTABRIA,51,1111X,SANTANDER,08023,034802W,43.49111111111111,-35.33388888888889,
242,432754N,CANTABRIA,64,1110,"SANTANDER, CIUDAD",,034908W,43.465,-35.50222222222222,
243,431444N,CANTABRIA,196,1124E,VILLACARRIEDO,,035058W,43.245555555555555,-35.08555555555556,
244,430849N,CANTABRIA,460,1135C,"LOS TOJOS, BÁRCENA MAYOR",,041251W,43.14694444444444,-41.41694444444444,
245,431619N,CANTABRIA,105,1152C,SAN FELICES DE BUELNA,,040255W,43.27194444444444,-40.418055555555554,
246,432131N,CANTABRIA,110,1154H,"TORRELAVEGA, SIERRAPANDO",,040139W,43.35861111111111,-40.219166666666666,
247,430838N,CANTABRIA,1100,1167B,"CAMALEÑO, FUENTE DE",,044846W,43.14388888888889,-45.401666666666664,
248,432336N,CANTABRIA,38,1159,SAN VICENTE DE LA BARQUERA,08017,042332W,43.39333333333333,-42.550555555555555,
249,430918N,CANTABRIA,1910,1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",,044811W,43.155,-45.35027777777778,
250,431415N,ASTURIAS,1236,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",,044412W,43.237500000000004,-44.68388888888889,
251,430521N,CANTABRIA,1722,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",,044626W,43.08916666666667,-45.035,
252,430843N,LEON,953,1178Y,"POSADA DE VALDEÓN, SOTO ",,045554W,43.14527777777778,-45.91777777777777,
253,431521N,CANTABRIA,940,1176A,TRESVISO,,044006W,43.255833333333335,-44.001666666666665,
254,431058N,CANTABRIA,250,1174I,"CILLÓRIGO DE LIÉBANA, TAMA",,043606W,43.18277777777777,-44.001666666666665,
255,431840N,ASTURIAS,458,1179B,CABRALES,,045110W,43.31111111111111,-45.18333333333333,
256,431560N,ASTURIAS,370,1186P,"AMIEVA, PANIZALES",,050709W,43.266666666666666,-51.16916666666666,
257,432513N,ASTURIAS,10,1183X,LLANES,08016,044453W,43.42027777777778,-44.75083333333333,
258,432240N,ASTURIAS,280,1199X,"PILOÑA, BARGAÉU",,052348W,43.37777777777778,-52.56888888888889,
259,432932N,ASTURIAS,30,1203D,COLUNGA,,051450W,43.492222222222225,-51.75,
260,433123N,ASTURIAS,26,1207U,"GIJÓN, CAMPUS",08065,053716W,43.52305555555555,-54.184999999999995,
261,433220N,ASTURIAS,3,1208,GIJÓN,,053815W,43.538888888888884,-54.35138888888889,
262,433401N,ASTURIAS,127,1212E,ASTURIAS AEROPUERTO,08011,060239W,43.566944444444445,-60.38583333333333,
263,433921N,ASTURIAS,100,1210X,CABO PEÑAS,08012,055055W,43.655833333333334,-55.084722222222226,
264,433335N,ASTURIAS,5,1208H,"GIJÓN, PUERTO",08014,054203W,43.55972222222222,-54.33416666666667,
265,433230N,ASTURIAS,22,1208A,GIJÓN. LA MERCED,,053943W,43.541666666666664,-54.5675,
266,430758N,ASTURIAS,370,1223P,"LENA, RONZÓN",,054922W,43.132777777777775,-55.53388888888889,
267,430543N,ASTURIAS,750,1226X,"ALLER, FELECHOSA",,052837W,43.09527777777778,-53.38527777777778,
268,425843N,ASTURIAS,1480,1221D,PAJARES-VALGRANDE,08031,054635W,42.978611111111114,-55.05138888888889,
269,431630N,ASTURIAS,170,1234P,"MIERES, BAIÑA",,054909W,43.275,-55.5025,
270,432112N,ASTURIAS,336,1249I,OVIEDO,08015,055227W,43.35333333333333,-55.368611111111115,
271,431725N,ASTURIAS,280,1272B,"TINEO, SOUTU",,062312W,43.290277777777774,-62.51722222222222,
272,430600N,ASTURIAS,670,1276F,POLA DE SOMIEDO,,061525W,43.1,-61.86805555555556,
273,432530N,ASTURIAS,240,1279X,"SALAS, CAMUÑO",,061351W,43.425,-61.58361111111111,
274,432112N,ASTURIAS,334,1249X,OVIEDO,08015,055226W,43.35333333333333,-55.36833333333333,
275,433409N,ASTURIAS,60,1283U,CABO BUSTO,08010,062812W,43.56916666666667,-63.35055555555556,
276,424607N,LUGO,1020,1297E,CERVANTES,,070103W,42.76861111111111,-70.1675,
277,432756N,ASTURIAS,410,1327A,"VILLAYÓN, ONETA",,064024W,43.46555555555556,-64.03444444444445,
278,430139N,ASTURIAS,780,1309C,"IBIAS, SAN ANTOLIN",,065306W,43.027499999999996,-65.50166666666667,
279,425719N,ASTURIAS,1310,1302F,DEGAÑA,,062821W,42.95527777777778,-63.36694444444444,
280,432553N,LUGO,125,1344X,MONDOÑEDO,,072142W,43.43138888888889,-72.23388888888888,
281,433129N,ASTURIAS,40,1331A,CASTROPOL,08009,070153W,43.52472222222222,-70.25083333333333,
282,433226N,LUGO,43,1342X,RIBADEO,,070459W,43.54055555555556,-70.7525,
283,432456N,ASTURIAS,340,1341B,"TARAMUNDI, OURIA",,070340W,43.41555555555556,-70.56666666666666,
284,433904N,LUGO,80,1347T,BURELA,,072126W,43.651111111111106,-72.20166666666667,
285,432835N,A CORUÑA,4,1354C,FERROL,08005,081544W,43.47638888888889,-81.90111111111112,
286,434710N,A CORUÑA,90,1351,ESTACA DE BARES,08004,074106W,43.78611111111111,-74.16833333333334,
287,431825N,A CORUÑA,98,1387E,A CORUÑA AEROPUERTO,08002,082219W,43.30694444444444,-82.35249999999999,
288,432148N,A CORUÑA,132,1387D,A CORUÑA BENS,08000,082631W,43.36333333333334,-83.05027777777778,
289,432645N,A CORUÑA,343,1363X,AS PONTES,,075141W,43.44583333333333,-75.23361111111112,
290,432157N,A CORUÑA,57,1387,A CORUÑA,08001,082517W,43.365833333333335,-82.85194444444444,
291,430938N,A CORUÑA,50,1393,CABO VILÁN,08006,091239W,43.160555555555554,-91.38583333333334,
292,430327N,A CORUÑA,287,1399,VIMIANZO,,090249W,43.0575,-90.4025,
293,425529N,A CORUÑA,230,1400,FISTERRA,08040,091729W,42.92472222222222,-92.2025,
294,431213N,A CORUÑA,98,1390X,"CARBALLO, DEPURADORA",,084240W,43.203611111111115,-84.4,
295,424801N,A CORUÑA,128,1435C,NOIA,,085234W,42.80027777777777,-85.38444444444445,
296,425317N,A CORUÑA,370,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,08042,082438W,42.88805555555555,-82.71888888888888,
297,430216N,A CORUÑA,500,1410X,SOBRADO,,080120W,43.03777777777778,-80.2,
298,425607N,A CORUÑA,340,1406X,MAZARICOS,,085937W,42.93527777777778,-86.55194444444444,
299,424835N,LUGO,680,1446X,MONTERROSO,,074606W,42.80972222222222,-75.00166666666667,
300,423956N,PONTEVEDRA,463,1465U,LALIN-CRISTIMIL,,081133W,42.66555555555556,-81.2175,
301,424314N,A CORUÑA,685,1437O,MONTE IROITE,08043,085524W,42.720555555555556,-85.86777777777777,
302,423838N,A CORUÑA,10,1442U,BOIRO,,085332W,42.64388888888889,-85.55055555555555,
303,424240N,PONTEVEDRA,645,1455I,RODEIRO-VILAMAIOR,,075714W,42.711111111111116,-76.18444444444445,
304,424203N,PONTEVEDRA,435,1466A,SILLEDA,,081528W,42.700833333333335,-81.86888888888888,
305,424459N,A CORUÑA,210,1476R,"ROIS, CASAS DO PORTO",,084253W,42.749722222222225,-84.4175,
306,425234N,A CORUÑA,240,1475X,SANTIAGO DE COMPOSTELA,08041,083321W,42.876111111111115,-83.53361111111111,
307,424137N,PONTEVEDRA,269,1468X,A ESTRADA,,083007W,42.69361111111111,-83.00194444444445,
308,424418N,A CORUÑA,100,1473A,PADRÓN,08039,083738W,42.73833333333334,-84.21888888888888,
309,423505N,PONTEVEDRA,32,1477V,VILAGARCÍA DE AROUSA,,084629W,42.584722222222226,-85.03583333333333,
310,423456N,PONTEVEDRA,36,1477U,VILAGARCIA DE AROUSA,,084611W,42.58222222222223,-85.01694444444445,
311,422550N,PONTEVEDRA,19,1484,"PONTEVEDRA, INSTITUTO",,083850W,42.43055555555555,-84.41666666666667,
312,422618N,PONTEVEDRA,113,1484C,PONTEVEDRA,08044,083657W,42.43833333333333,-84.08527777777778,
313,422425N,PONTEVEDRA,395,1489A,A LAMA,,082704W,42.40694444444444,-83.16777777777779,
314,422346N,PONTEVEDRA,3,1486E,ESCUELA NAVAL DE MARÍN,08043,084225W,42.39611111111111,-84.36805555555554,
315,421419N,PONTEVEDRA,255,1495,VIGO AEROPUERTO,08045,083726W,42.23861111111111,-84.20166666666667,
316,430640N,LUGO,442,1505,LUGO AEROPUERTO,08008,072727W,43.111111111111114,-73.20194444444445,
317,421350N,PONTEVEDRA,120,1496X,VIGO ,,084327W,42.230555555555554,-84.53527777777778,
318,425043N,LUGO,403,1521I,O PÁRAMO,,072958W,42.84527777777778,-73.58555555555554,
319,425544N,LEON,958,1541B,VILLABLINO,,062002W,42.928888888888885,-62.00055555555556,
320,425954N,LUGO,442,1518A,LUGO,,073309W,42.998333333333335,-73.5025,
321,425150N,LUGO,1080,1521X,BECERREÁ,,071107W,42.86388888888889,-71.16861111111112,
322,425939N,ASTURIAS,1530,1542,PUERTO DE LEITARIEGOS,08052,062451W,42.994166666666665,-62.750277777777775,
323,423350N,LEON,532,1549,PONFERRADA,08053,063600W,42.56388888888888,-64.0,
324,422456N,OURENSE,315,1583X,O BARCO DE VALDEORRAS,,065935W,42.41555555555556,-66.55138888888888,
325,424558N,LEON,770,1561I,VEGA DE ESPINAREDA  ,,064025W,42.76611111111111,-64.03472222222221,
326,422022N,OURENSE,840,1631E,A POBRA DE TRIVES,08051,071657W,42.339444444444446,-72.08527777777778,
327,423154N,LUGO,291,1679A,MONFORTE DE LEMOS,,073039W,42.531666666666666,-73.0525,
328,423519N,LUGO,612,1658,FOLGOSO DO COUREL,,071130W,42.58861111111111,-71.21666666666667,
329,421537N,OURENSE,990,1639X,CHANDREXA DE QUEIXA,,072301W,42.26027777777778,-72.50027777777778,
330,421956N,OURENSE,148,1690B,"OURENSE,INSTITUTO",,075152W,42.33222222222223,-75.25055555555555,
331,421931N,OURENSE,146,1690A,OURENSE,08048,075135W,42.32527777777778,-75.21805555555555,
332,422805N,OURENSE,610,1696O,BEARIZ,,081641W,42.46805555555556,-82.06694444444445,
333,422517N,OURENSE,400,1700X,O CARBALLIÑO,08047,080533W,42.421388888888885,-80.88416666666667,
334,421760N,OURENSE,112,1701X,RIBADAVIA,,080745W,42.3,-81.23472222222222,
335,421058N,OURENSE,492,1706A,ALLARIZ,,074746W,42.18277777777777,-75.235,
336,421305N,PONTEVEDRA,560,1719,A CAÑIZA,,081652W,42.21805555555556,-82.08388888888888,
337,421056N,PONTEVEDRA,90,1723X,"PONTEAREAS, CANEDO   ",,082934W,42.18222222222222,-83.55111111111111,
338,415638N,PONTEVEDRA,55,1730E,O ROSAL,,085051W,41.943888888888885,-85.08361111111111,
339,420445N,OURENSE,616,1735X,XINZO DE LIMIA,08050,074401W,42.07916666666667,-74.66694444444445,
340,432238N,CANTABRIA,150,1740,"SANTILLANA DEL MAR, ALTAMIRA",,040728W,43.37722222222222,-41.202222222222225,
341,415945N,SORIA,1260,2017Y,"LA PÓVEDA DE SORIA, BARRIOMARTÍN",,022939W,41.99583333333334,-23.552500000000002,
342,415603N,OURENSE,730,1738U,MUIÑOS,,075920W,41.93416666666666,-76.53333333333333,
343,415804N,SORIA,1197,2005Y,"VINUESA, QUINTANAREJO",,024658W,41.967777777777776,-25.085555555555555,
344,413602N,SORIA,1100,2044B,LUBIA,,023027W,41.60055555555556,-23.03527777777778,
345,414630N,SORIA,1081,2030,SORIA,08148,022859W,41.775,-23.41916666666667,
346,412510N,SORIA,978,2048A,MORÓN DE ALMAZÁN,,022513W,41.419444444444444,-22.850833333333334,
347,414319N,SORIA,960,2084Y,UCERO,,030249W,41.721944444444446,-30.4025,
348,412059N,SORIA,1042,2059B,LA RIBA DE ESCALOTE,,024700W,41.349722222222226,-25.166666666666668,
349,413522N,SORIA,932,2092,BURGO DE OSMA,,030513W,41.589444444444446,-30.850833333333334,
350,412225N,SORIA,1150,2096B,LICERAS,,031505W,41.37361111111111,-31.834722222222222,
351,414445N,BURGOS,955,2106B,CORUÑA DEL CONDE,,032255W,41.74583333333334,-32.418055555555554,
352,413957N,BURGOS,790,2117D,ARANDA DE DUERO,08144,034434W,41.66583333333333,-34.717777777777776,
353,412222N,SEGOVIA,993,2135A,FRESNO DE CANTESPINO,,033026W,41.37277777777778,-33.035,
354,412752N,SEGOVIA,1135,2140A,ALDEANUEVA DE SERREZUELA,,034709W,41.464444444444446,-35.16916666666666,
355,413643N,VALLADOLID,725,2172Y,SARDÓN DE DUERO,,042420W,41.61194444444445,-42.7,
356,413535N,VALLADOLID,756,2166Y,PEÑAFIEL,,040729W,41.59305555555556,-41.2025,
357,411131N,SEGOVIA,1798,2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",08143,032831W,41.19194444444444,-33.38361111111111,
358,425214N,PALENCIA,1140,2235U,CERVERA DE PISUERGA,08058,043112W,42.870555555555555,-43.18388888888889,
359,412301N,SEGOVIA,795,2192C,CUÉLLAR,,041556W,41.38361111111111,-41.91833333333333,
360,424753N,PALENCIA,910,2243A,AGUILAR DE CAMPOO,,041638W,42.79805555555556,-42.05222222222222,
361,410802N,SEGOVIA,1107,2182C,PEDRAZA,,034725W,41.13388888888889,-35.20138888888889,
362,423126N,BURGOS,869,2285B,VILLADIEGO,,040004W,42.52388888888889,-40.00111111111111,
363,423408N,PALENCIA,908,2276B,VILLAELES DE VALDAVIA,,043430W,42.56888888888889,-43.71666666666667,
364,421504N,BURGOS,771,2290Y,PEDROSA DEL PRÍNCIPE,,041156W,42.25111111111111,-41.251666666666665,
365,420847N,BURGOS,1197,2302N,MONTERRUBIO DE LA DEMANDA,,030635W,42.146388888888886,-31.05138888888889,
366,414632N,SORIA,1039,2296A,ÓLVEGA,,015836W,41.775555555555556,-16.384999999999998,
367,415735N,BURGOS,1080,2298,PALACIOS DE LA SIERRA,08149,030754W,41.959722222222226,-31.25111111111111,
368,420619N,BURGOS,884,2311Y,VILLAMAYOR DE LOS MONTES,,034604W,42.10527777777778,-35.00111111111111,
369,422125N,BURGOS,891,2331,BURGOS AEROPUERTO,08075,033713W,42.356944444444444,-34.18416666666666,
370,422103N,PALENCIA,830,2374X,CARRIÓN DE LOS CONDES,08068,043702W,42.350833333333334,-44.16722222222222,
371,425338N,PALENCIA,1575,2362C,"VELILLA DEL RÍO CARRIÓN, CAMPORREDONDO DE ALBA",,044249W,42.89388888888889,-44.402499999999996,
372,415944N,PALENCIA,874,2400E,AUTILLA DEL PINO,08072,043610W,41.995555555555555,-44.016666666666666,
373,413827N,VALLADOLID,734,2422,VALLADOLID,08141,044515W,41.64083333333333,-44.85138888888889,
374,420018N,PALENCIA,750,2401,"PALENCIA, OBSERVATORIO",,043145W,42.005,-43.234722222222224,
375,420034N,PALENCIA,736,2401X,PALENCIA,,043338W,42.00944444444445,-43.55222222222222,
376,403236N,AVILA,1178,2430Y,MUÑOTELLO,,050239W,40.54333333333333,-50.38583333333333,
377,404944N,AVILA,920,2453E,GOTARRENDURA,,044431W,40.82888888888889,-44.716944444444444,
378,403924N,AVILA,1143,2444C,"ÁVILA, AYUNTAMIENTO",,044201W,40.656666666666666,-44.33361111111111,
379,403933N,AVILA,1130,2444,ÁVILA,08210,044047W,40.659166666666664,-44.06861111111112,
380,410417N,AVILA,820,2456B,AREVALO,,044348W,41.07138888888889,-44.56888888888889,
381,405648N,SEGOVIA,990,2465A,"SEGOVIA, INSTITUTO",,040657W,40.946666666666665,-41.08527777777778,
382,404735N,MADRID,1893,2462,PUERTO DE NAVACERRADA,08215,040038W,40.793055555555554,-40.05222222222222,
383,405643N,SEGOVIA,1008,2465,SEGOVIA,08213,040735W,40.945277777777775,-41.21805555555556,
384,402118N,SALAMANCA,1960,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",08205,054124W,40.355000000000004,-54.20111111111111,
385,404307N,SEGOVIA,1237,2471Y,SAN RAFAEL,,041243W,40.718611111111116,-41.40083333333333,
386,410735N,SEGOVIA,870,2482B,MIGUELAÑEZ,,042233W,41.12638888888889,-42.384166666666665,
387,411648N,VALLADOLID,786,2503B,"OLMEDO, DEPÓSITO DE AGUA",,044131W,41.28,-44.216944444444444,
388,411933N,VALLADOLID,740,2503X,OLMEDO,08142,044113W,41.325833333333335,-44.18416666666666,
389,412510N,VALLADOLID,724,2507Y,RUEDA,,045749W,41.419444444444444,-46.23583333333333,
390,405256N,AVILA,925,2512Y,RIVILLA DE BARAJAS,,050107W,40.882222222222225,-50.16861111111111,
391,414243N,VALLADOLID,846,2539,VALLADOLID AEROPUERTO,08140,045120W,41.71194444444445,-45.2,
392,413254N,ZAMORA,710,2536D,MORALES DEL TORO,,051617W,41.54833333333333,-52.01861111111111,
393,411412N,ZAMORA,811,2555B,FUENTESAUCO,,052853W,41.236666666666665,-53.4175,
394,411022N,VALLADOLID,755,2517A,FUENTE EL SOL,,045623W,41.172777777777775,-46.034166666666664,
395,423125N,PALENCIA,985,2568D,"SANTERVÁS DE LA VEGA, VILLAPÚN ",,045104W,42.52361111111111,-45.16777777777777,
396,413319N,ZAMORA,702,2565,CORESES,,053750W,41.555277777777775,-54.25,
397,420539N,VALLADOLID,782,2593D,VILLALÓN DE CAMPOS,,050228W,42.094166666666666,-50.36888888888889,
398,415233N,VALLADOLID,731,2604B,MEDINA DE RIOSECO,,050225W,41.87583333333333,-50.36805555555556,
399,415123N,ZAMORA,690,2611D,VILLAFÁFILA,,053533W,41.85638888888889,-53.884166666666665,
400,413056N,ZAMORA,656,2614,ZAMORA,08130,054407W,41.51555555555556,-54.66861111111111,
401,425730N,LEON,1090,2624C,RIAÑO,,050027W,42.958333333333336,-50.03527777777778,
402,423518N,LEON,916,2661,"LEÓN, VIRGEN DEL CAMINO",08055,053904W,42.58833333333334,-54.50111111111111,
403,430344N,LEON,1510,2630X,PUERTO DE SAN ISIDRO,08057,052237W,43.06222222222222,-52.38527777777778,
404,423558N,LEON,912,2661B,LEÓN AEROPUERTO,08055,053837W,42.599444444444444,-54.38527777777778,
405,423712N,LEON,916,2626Y,CUBILLAS DE RUEDA,,051136W,42.62,-51.218333333333334,
406,425308N,LEON,1120,2701D,"BARRIOS DE LUNA, MIÑERA",,055215W,42.885555555555555,-55.35138888888889,
407,423854N,LEON,995,2728B,"QUINTANA DEL CASTILLO, VILLAMECA",,060415W,42.64833333333333,-60.68472222222222,
408,421745N,LEON,788,2664B,VALENCIA DE DON JUAN,,053017W,42.295833333333334,-53.01861111111111,
409,422239N,LEON,1020,2737E,LAGUNAS DE SOMOZA,08123,061148W,42.3775,-61.23555555555556,
410,422759N,LEON,850,2742R,BUSTILLO DEL PÁRAMO,,054647W,42.46638888888889,-55.06861111111112,
411,422836N,LEON,919,2734D,ASTORGA,,060428W,42.47666666666667,-60.702222222222225,
412,420039N,ZAMORA,715,2755X,BENAVENTE,08056,054000W,42.01083333333333,-54.0,
413,420441N,ZAMORA,737,2777K,SANTIBAÑEZ DE VIDRIALES,,060026W,42.07805555555556,-60.035,
414,414708N,ZAMORA,711,2789H,POZUELO DE TABARA,,055432W,41.785555555555554,-55.717222222222226,
415,415629N,ZAMORA,850,2775X,VILLARDECIERVOS,08125,061647W,41.94138888888889,-62.06861111111112,
416,420457N,ZAMORA,933,2766E,"SANABRIA, ROBLEDA-CERVANTES",,063823W,42.0825,-64.36749999999999,
417,402119N,AVILA,1012,2828Y,BARCO DE AVILA,,053109W,40.35527777777778,-53.16916666666666,
418,404032N,SALAMANCA,865,2847X,PEDROSILLO DE LOS AIRES   ,,053836W,40.675555555555555,-54.385,
419,413202N,ZAMORA,790,2804F,VILLADEPERA,,060831W,41.53388888888889,-61.38361111111111,
420,402102N,AVILA,1525,2811A,NAVARREDONDA DE GREDOS,08206,050835W,40.35055555555556,-51.38472222222222,
421,411420N,ZAMORA,1003,2882D,PEÑAUSENDE,08135,055351W,41.23888888888889,-55.58361111111111,
422,404356N,SALAMANCA,897,2863C,PEDRAZA DE ALBA  ,,052158W,40.73222222222223,-52.25222222222222,
423,405734N,SALAMANCA,790,2867,SALAMANCA AEROPUERTO,08202,052954W,40.95944444444445,-53.58444444444444,
424,405727N,SALAMANCA,775,2870,SALAMANCA,08201,053944W,40.9575,-54.56777777777778,
425,405413N,SALAMANCA,817,2873X,BARBADILLO,,054647W,40.90361111111111,-55.06861111111112,
426,410041N,SALAMANCA,769,2916A,VITIGUDINO,08129,062616W,41.01138888888889,-63.01833333333333,
427,411816N,ZAMORA,804,2885K,FRESNO DE SAYAGO,,060120W,41.30444444444444,-60.2,
428,411546N,SALAMANCA,690,2891A,VILLARINO DE LOS AIRES,,062744W,41.26277777777778,-63.23444444444444,
429,403410N,SALAMANCA,1027,2918Y,EL MAÍLLO,,061325W,40.56944444444445,-61.53472222222222,
430,404710N,SALAMANCA,785,2914C,BOADILLA FUENTE SAN ESTEBAN,,061210W,40.78611111111111,-61.35,
431,403806N,SALAMANCA,680,2946X,SAELICES EL CHICO,08195,063600W,40.635,-64.0,
432,405105N,SALAMANCA,748,2926B,BAÑOBÁREZ,,063632W,40.85138888888889,-64.05055555555555,
433,402906N,SALAMANCA,805,2945A,EL BODÓN BASE AÉREA,,063437W,40.485,-63.718611111111116,
434,401748N,SALAMANCA,880,2930Y,NAVASFRÍAS,,064846W,40.29666666666667,-65.40166666666667,
435,415536N,OURENSE,380,2978X,VERÍN,,072519W,41.92666666666666,-72.85249999999999,
436,420138N,OURENSE,910,2969U,A GUDIÑA,,071059W,42.02722222222222,-71.08583333333333,
437,414100N,ZAMORA,840,2966D,ALCAÑICES  ,,061805W,41.68333333333333,-62.334722222222226,
438,405030N,GUADALAJARA,1062,3013,MOLINA DE ARAGÓN,08232,015244W,40.84166666666667,-15.401111111111112,
439,404530N,GUADALAJARA,1250,3021Y,ZAOREJAS,,021159W,40.75833333333333,-21.2525,
440,403418N,CUENCA,1214,3040Y,BETETA,,020435W,40.57166666666667,-20.718055555555555,
441,403149N,CUENCA,928,3044X,CAÑIZARES,08230,020900W,40.530277777777776,-21.5,
442,400043N,CUENCA,819,3094B,TARANCÓN,08277,030117W,40.011944444444445,-30.185277777777777,
443,402428N,GUADALAJARA,920,3085Y,PASTRANA,,025711W,40.407777777777774,-26.183611111111112,
444,405323N,MADRID,1159,3104Y,RASCAFRÍA,,035318W,40.88972222222222,-35.51888888888889,
445,395607N,TOLEDO,733,3099Y,OCAÑA,,032946W,39.93527777777778,-33.568333333333335,
446,400402N,MADRID,540,3100B,ARANJUEZ,08229,033246W,40.06722222222223,-33.401666666666664,
447,410013N,GUADALAJARA,910,3103,PANTANO EL VADO,,031807W,41.00361111111111,-32.33527777777778,
448,402706N,MADRID,664,3194U,"MADRID, CIUDAD UNIVERSITARIA",08220,034327W,40.45166666666667,-34.53527777777778,
449,403749N,GUADALAJARA,727,3168D,GUADALAJARA,08226,030901W,40.63027777777778,-31.50027777777778,
450,402654N,MADRID,665,3194Y,POZUELO DE ALARCÓN,,034848W,40.44833333333333,-35.40222222222222,
451,403300N,MADRID,672,3125Y,SAN SEBASTIÁN DE LOS REYES,,033700W,40.55,-34.166666666666664,
452,403933N,GUADALAJARA,639,3168C,"GUADALAJARA, EL SERRANILLO",08226,031024W,40.659166666666664,-31.034444444444446,
453,401842N,MADRID,533,3182Y,ARGANDA DEL REY,,032952W,40.31166666666666,-33.58388888888889,
454,404146N,MADRID,1004,3191E,COLMENAR VIEJO,08219,034554W,40.69611111111111,-34.91777777777777,
455,410511N,GUADALAJARA,1005,3130C,SIGÜENZA,08150,023705W,41.08638888888889,-24.168055555555558,
456,405906N,GUADALAJARA,990,3140Y,MANDAYONA,,024536W,40.985,-24.884999999999998,
457,403341N,MADRID,740,3126Y,"MADRID, EL GOLOSO",,034243W,40.561388888888885,-34.40083333333333,
458,410025N,MADRID,1030,3110C,BUITRAGO DEL LOZOYA,08146,033650W,41.00694444444444,-34.083333333333336,
459,402800N,MADRID,609,3129,MADRID AEROPUERTO,08221,033320W,40.46666666666667,-33.53333333333333,
460,403142N,MADRID,605,3170Y,ALCALA DE HENARES,,031723W,40.52833333333333,-32.200833333333335,
461,403805N,GUADALAJARA,685,3168A,"GUADALAJARA, INSTITUTO",,031000W,40.63472222222222,-31.0,
462,402919N,MADRID,607,3175,TORREJÓN DE ARDOZ,08227,032637W,40.48861111111111,-33.051944444444445,
463,410808N,MADRID,1450,3111D,SOMOSIERRA,08145,033450W,41.135555555555555,-33.75,
464,402232N,MADRID,690,3196,"MADRID, CUATRO VIENTOS",08223,034710W,40.37555555555556,-35.18333333333333,
465,402443N,MADRID,667,3195,"MADRID, RETIRO",08222,034041W,40.411944444444444,-34.066944444444445,
466,404555N,GUADALAJARA,835,3209Y,BRIHUEGA,,025227W,40.765277777777776,-25.36861111111111,
467,401450N,MADRID,594,3229Y,TIELMES,,031842W,40.24722222222222,-32.400555555555556,
468,394113N,TOLEDO,717,3254Y,MORA,,034650W,39.68694444444444,-35.083333333333336,
469,401758N,MADRID,620,3200,GETAFE,08224,034320W,40.29944444444444,-34.53333333333333,
470,394146N,TOLEDO,635,3245Y,TEMBLEQUE,,033021W,39.69611111111111,-33.03361111111111,
471,395134N,TOLEDO,540,3259,"TOLEDO, LORENZANA",,040132W,39.85944444444445,-40.217222222222226,
472,395305N,TOLEDO,513,3260B,TOLEDO,08272,040243W,39.88472222222222,-40.40083333333333,
473,404223N,MADRID,1532,3266A,PUERTO ALTO DEL LEÓN,08217,040831W,40.70638888888889,-41.38361111111111,
474,393249N,TOLEDO,917,3298X,SAN PABLO DE LOS MONTES,08270,042102W,39.54694444444444,-42.16722222222222,
475,403935N,MADRID,924,3268C,ALPEDRETE,,040103W,40.65972222222222,-40.1675,
476,393750N,TOLEDO,750,3305Y,NAVAHERMOSA,,042837W,39.63055555555555,-43.38527777777778,
477,401847N,MADRID,890,3330Y,ROZAS DE PUERTO REAL,,042914W,40.31305555555555,-43.51777777777777,
478,402023N,AVILA,1285,3319D,PUERTO DEL PICO,,050046W,40.33972222222222,-50.068333333333335,
479,402948N,MADRID,884,3343Y,VALDEMORILLO,,040340W,40.49666666666667,-40.56666666666667,
480,400630N,TOLEDO,560,3362Y,CASTILLO DE BAYUELA,,044050W,40.108333333333334,-44.083333333333336,
481,402540N,MADRID,763,3338,ROBLEDO DE CHAVELA,08212,041460W,40.42777777777778,-41.766666666666666,
482,402803N,AVILA,850,3337U,CEBREROS,,042721W,40.4675,-43.20027777777778,
483,393530N,CACERES,923,3386A,NAVALVILLAR DE IBOR,,052330W,39.59166666666667,-52.55,
484,400821N,AVILA,350,3422D,CANDELEDA,,051841W,40.13916666666667,-52.400277777777774,
485,400914N,CACERES,464,3423I,MADRIGAL DE LA VERA,,052224W,40.153888888888886,-52.367777777777775,
486,395731N,TOLEDO,372,3365A,TALAVERA DE LA REINA,08274,045149W,39.95861111111111,-45.23583333333333,
487,401719N,AVILA,630,3391,SOTILLO DE LA ADRADA,08208,043527W,40.28861111111111,-43.868611111111115,
488,394915N,CACERES,406,3448X,SERRADILLA,,060739W,39.82083333333334,-61.219166666666666,
489,395936N,TOLEDO,345,3427Y,OROPESA,,050652W,39.99333333333333,-51.08388888888889,
